ScenarioID,Salinity_InDelta_Tier
s0011,2.7779761904761906
s0020,2.8601190476190483
s0020-R,2.8601190476190483
s0021,2.6744047619047615
s0023,2.55
s0024,2.7357142857142858
s0025,2.706547619047619
s0026,2.725
s0027,2.694642857142857
s0028,2.532738095238095
s0030,1.1071666666666666
s0031,2.3339285714285714
s0031-R,2.3339285714285714
s0032,1.1538333333333333
s0032-R,1.1538333333333333
s0033,2.3238095238095235
s0033-R,2.3238095238095235
s0035,2.7738095238095237
s0037,2.753571428571429
s0039,1.9249999999999998
s0040,1.925
s0041,1.9033333333333333
s0042,1.8983333333333334
s0044,2.6279761904761907
s0045,3.02417094017094
s0046,2.4839285714285717
s0046-R,2.4839285714285717
s0047,3.0167651515151515
s0047-R,3.0167651515151515
s0048,3.016449494949495
s0049,3.010767676767677
s0050,3.0123459595959594
s0051,3.0050858585858586
s0056,3.067994366744367
s0056-R,3.067994366744367
s0057,3.060112988862989
s0058,3.0520652033152036
s0059,3.0515773115773115
s0060,3.0292654105154107
s0062,3.0145555555555554
s0063,3.0404480704480705
s0065,2.7720238095238097
s0067,3.0136085858585857
s0068,3.014239898989899
s0069,3.012030303030303
s0071,1.1221666666666665
s0072,2.6208333333333336
s0072-R,2.6208333333333336
s0073,1.1621666666666666
s0073-R,1.1621666666666666
s0074,3.0028762626262626
s0074-R,3.0028762626262626
s0075,3.015502525252525
s0077,3.014871212121212
s0078,2.101690476190476
s0079,2.2023809523809526
s0080,2.157142857142857
s0081,2.1279761904761902
s0082,3.014871212121212
s0083,3.0649316886816886
s0084,3.0072954545454547
s0084-R,3.0072954545454547
s0085,3.0129772727272726
s0087,3.053597837347837
s0088,3.0662713675213675
s0089,3.049538655788656
s0091,1.1438333333333333
s0092,2.9035714285714285
s0092-R,2.9035714285714285
s0093,1.1621666666666666
s0093-R,1.1621666666666666
s0094,3.0012979797979797
s0094-R,3.0012979797979797
s0095,3.0625961538461537
s0097,3.063932918932919
s0098,2.5005952380952383
s0099,2.6595238095238094
s0100,2.619642857142857
s0101,2.5255952380952382
s0102,3.0616537166537166
s0103,3.1275443537943537
s0104,3.026353923853924
s0104-R,3.026353923853924
s0105,3.0591135716135716
s0107,3.150305944055944
s0108,3.1566864154364156
s0108-R,3.1566864154364156
s0109,3.133013791763792
s0110,3.075495337995338
s0111,3.097346866096866
s0112,3.150452926702927
s0113,3.149692760942761
s0114,3.1469794094794095
s0115,3.150433501683502
s0117,1.1488333333333334
s0118,3.0500644263144263
s0118-R,3.0500644263144263
s0119,1.1588333333333334
s0119-R,1.1588333333333334
s0120,3.086551735301735
s0120-R,3.086551735301735
s0121,3.1543741906241904
s0123,3.153087606837607
s0124,2.879761904761905
s0125,3.003230769230769
s0126,2.8934523809523807
s0127,2.9089285714285715
s0128,3.15383288008288
s0129,3.204988344988345
s0130,3.0854270266770265
s0130-R,3.0854270266770265
s0131,3.1428881766381767
s0133,3.0095050505050507
s0134,3.018791958041958
s0134-R,3.018791958041958
s0135,3.0151868686868686
s0136,3.0066641414141415
s0137,3.0104520202020204
s0138,3.012661616161616
s0139,3.017305944055944
s0140,3.012030303030303
s0141,3.0129772727272726
s0143,1.165
s0144,3.006348484848485
s0144-R,3.006348484848485
s0145,1.2
s0145-R,1.2
s0146,3.0016136363636363
s0146-R,3.0016136363636363
s0147,3.015502525252525
s0149,3.0162472804972804
s0150,2.3202380952380954
s0151,2.3970238095238097
s0152,2.394047619047619
s0153,2.3815476190476192
s0154,3.0197389277389277
s0155,3.081820448070448
s0156,3.0050858585858586
s0156-R,3.0050858585858586
s0157,3.0197389277389277
