id,scenario_short_code,reservoir_entity_id,water_month,storage_avg_taf,storage_cv,storage_pct_capacity,q0,q10,q30,q50,q70,q90,q100,capacity_taf,sample_count,is_active,created_at,created_by,updated_at,updated_by,q0_taf,q10_taf,q30_taf,q50_taf,q70_taf,q90_taf,q100_taf,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,exc_p5_taf,exc_p10_taf,exc_p25_taf,exc_p50_taf,exc_p75_taf,exc_p90_taf,exc_p95_taf
1081,s0020,1,1,796.36,0.0729,69.67,61.07,61.07,67.53,69.82,73.23,76.82,76.82,1143.00,100,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,698.00,698.00,771.89,798.00,837.00,878.00,878.00,,,,,,,,,,,,,,
1082,s0020,1,2,785.02,0.0622,68.68,62.37,62.38,66.23,68.07,71.39,75.50,75.50,1143.00,100,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,712.87,713.00,757.00,778.00,816.00,863.00,863.00,,,,,,,,,,,,,,
1083,s0020,1,3,792.57,0.0534,69.34,64.10,64.83,66.67,67.89,73.23,74.54,74.54,1143.00,100,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,732.64,741.00,762.00,776.00,837.00,852.00,852.00,,,,,,,,,,,,,,
1084,s0020,1,4,850.69,0.0715,74.43,66.00,68.24,70.79,73.48,77.21,80.76,94.82,1143.00,100,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,754.34,779.96,809.16,839.91,882.49,923.12,1083.78,,,,,,,,,,,,,,
1085,s0020,1,5,905.55,0.0773,79.23,68.26,72.13,74.38,79.38,82.76,87.56,93.52,1143.00,100,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,780.16,824.45,850.11,907.26,945.97,1000.77,1068.93,,,,,,,,,,,,,,
1086,s0020,1,6,968.80,0.0824,84.76,70.65,75.47,79.60,84.62,89.94,94.24,98.81,1143.00,100,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,807.52,862.66,909.82,967.24,1028.06,1077.15,1129.39,,,,,,,,,,,,,,
1087,s0020,1,7,1021.69,0.0792,89.39,72.22,79.18,85.04,90.15,95.09,97.88,99.99,1143.00,100,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,825.44,905.04,971.99,1030.37,1086.88,1118.81,1142.90,,,,,,,,,,,,,,
1088,s0020,1,8,1069.86,0.0788,93.60,73.55,81.42,89.89,96.33,99.99,99.99,99.99,1143.00,100,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,840.69,930.61,1027.39,1101.07,1142.90,1142.90,1142.90,,,,,,,,,,,,,,
1089,s0020,1,9,982.27,0.0911,85.94,73.56,75.50,78.13,89.06,93.79,94.40,94.40,1143.00,100,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,840.83,863.00,893.00,1018.00,1072.00,1079.00,1079.00,,,,,,,,,,,,,,
1090,s0020,1,10,939.34,0.0935,82.18,72.27,72.27,74.28,84.78,90.38,90.38,90.38,1143.00,100,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,826.00,826.00,849.00,969.00,1033.00,1033.00,1033.00,,,,,,,,,,,,,,
