"DU_ID","WBA_ID","hydrologic_region","Dups","Class","CS3_Type","total_acres","polygon_count","community_agency","gw","sw","point_of_diversion","source","model_source","has_gis_data","primary_contractor_short_code"
"02_NU","02","SAC","0","Urban","NU","9946.7270736177","3","Anderson City of Anderson 4510001","1","0","N/A Cottonwood Cottonwood WD 4510007 • - N/A Lake California Rio Alto WD 5210005 • - N/A Small communities Self-supplied N/A • - N/A","geopackage,calsim_report","calsim3","True",""
"02_PU","02","SAC","0","Urban","PU","21629.80510289","3","Centerville and Redding Centerville CSD 4510011","0","1","Whiskeytown Reservoir Happy Valley Clear Creek CSD 4510016 - • Whiskeytown Reservoir Shasta CSA No. 25 Keswick CSA5 4500001 - • Whiskeytown Reservoir Shasta Shasta CSD 4510013 - • Whiskeytown Reservoir","geopackage,calsim_report","calsim3","True",""
"02_SU","02","SAC","0","Urban","SU","13583.237444","1","Redding – Foothill, Hill 900 and Cascade City of Redding 4510005","1","1","Sacramento River","geopackage,calsim_report","calsim3","True",""
"03_NU","03","SAC","0","Urban","NU","0.99644144812","1","Small communities Self-supplied N/A","1","0","","geopackage,calsim_report","calsim3","True",""
"03_PU1","03","SAC","0","Urban","PU","9216.395475144001","3","Shasta CSA No. 6 Jones Valley CSA2 4510004","0","1","Shasta Reservoir Shasta Lake City of Shasta Lake 4510006 - • Shasta Reservoir Mountain Gate Mountain Gate CSD 4510002 • • Shasta Reservoir","geopackage,calsim_report","calsim3","True",""
"03_PU2","03","SAC","0","Urban","PU","1.04719163977","1","Stillwater Valley, Bella Vista, Palo Cedro, Redding Bella Vista WD 4510014","1","1","Sacramento River","geopackage,calsim_report","calsim3","True",""
"03_PU3","03","SAC","0","Urban","PU","11046.2852365","1","Redding – Buckeye and Hilltop","0","1","Whiskeytown Reservoir","geopackage,calsim_report","calsim3","True",""
"03_SU","03","SAC","0","Urban","SU","16891.126010113243","4","Redding – Hilltop and Enterprise","1","1","Sacramento River","geopackage,calsim_report","calsim3","True",""
"04_NU1","04","SAC","0","Urban","NU","3968.36040839","1","Red Bluff City of Red Bluff 5210004","1","0","","geopackage,calsim_report","calsim3","True",""
"04_NU2","04","SAC","0","Urban","NU","1987.2244183999999","2","Corning City of Corning","1","0","N/A Gerber Gerber-Las Flores CSD 5210002 • - N/A Small communities Self-supplied N/A • - N/A","geopackage,calsim_report","calsim3","True",""
"05_NU","05","SAC","0","Urban","NU","17489.880612504","2","Red Bluff City of Red Bluff 5210004","1","0","N/A Los Molinos Los Molinos CSD 5210003 • - N/A Small communities Self-supplied N/A • - N/A","geopackage,calsim_report","calsim3","True",""
